fold,set,accuracy,f1,tpr,tnr,gmean,auc,batch_size,learning_rate,weight_decay,dropout_prob,seed,preprocessed_dir
4,VALIDATION,0.7,0.6666666666666666,0.6666666666666666,0.7272727272727273,0.6963106238227914,0.6767676767676768,8,0.001,1e-05,0,8,resize_small_hu_m300_1400_separadas
4,TEST,0.56,0.5925925925925926,0.6666666666666666,0.46153846153846156,0.5547001962252291,0.6987179487179487,8,0.001,1e-05,0,8,resize_small_hu_m300_1400_separadas
5,VALIDATION,0.75,0.7368421052631579,0.7,0.8,0.7483314773547882,0.7000000000000001,8,0.001,1e-05,0,8,resize_small_hu_m300_1400_separadas
5,TEST,0.8,0.8,0.9090909090909091,0.7142857142857143,0.8058229640253803,0.8571428571428571,8,0.001,1e-05,0,8,resize_small_hu_m300_1400_separadas
MEAN,VALIDATION,0.74,0.6991228070175438,0.6733333333333332,0.7963636363636363,0.7291689383053012,0.7056565656565656,8,0.001,8
MEAN,TEST,0.568,0.4808154372860255,0.4818181818181818,0.6505494505494507,0.5295798046152538,0.6021978021978022,8,0.001,8
1,VALIDATION,0.8,0.8,0.8888888888888888,0.7272727272727273,0.8040302522073697,0.7474747474747474,8,0.001,1e-05,0.3,8,resize_small_hu_m300_1400_separadas
1,TEST,0.52,0.5,0.5,0.5384615384615384,0.5188745216627708,0.6282051282051282,8,0.001,1e-05,0.3,8,resize_small_hu_m300_1400_separadas
2,VALIDATION,0.55,0.6086956521739131,0.7777777777777778,0.36363636363636365,0.5318160234783105,0.5454545454545454,8,0.001,1e-05,0.3,8,resize_small_hu_m300_1400_separadas
2,TEST,0.48,0.48,0.5,0.46153846153846156,0.4803844614152614,0.4679487179487179,8,0.001,1e-05,0.3,8,resize_small_hu_m300_1400_separadas
3,VALIDATION,0.75,0.7368421052631579,0.7777777777777778,0.7272727272727273,0.7521014330903549,0.6565656565656566,8,0.001,1e-05,0.3,8,resize_small_hu_m300_1400_separadas
